Jobs,Relevant Minor Categories,,,,,,,,,,,,
"Directors, Religious Activities & Education",Education,Philosophy & Religion,,,,,,,,,,,
Disc Jockeys,Music,,,,,,,,,,,,
Document Management Specialists,Management & Information Systems,Information & Technology,,,,,,,,,,,
"Economics Teachers, Postsecondary",Education,Economics,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,
Economists,Economics,General Business,Accounting & Finance,Statistics & Data Science,Applied & General Mathematics,,,,,,,,
Editors,Language & Literature,Communication & Journalism,,,,,,,,,,,
"Education & Childcare Administrators, Preschool & Daycare",Education,Psychology,Social Services,,,,,,,,,,
"Education Administrators, Kindergarten through Secondary",Education,Psychology,Social Services,,,,,,,,,,
"Education Administrators, Postsecondary",Education,Psychology,Social Services,,,,,,,,,,
"Education Teachers, Postsecondary",Education,,,,,,,,,,,,
"Educational, Guidance, & Career Counselors & Advisors",Education,Psychology,Social Services,,,,,,,,,,
Electrical Engineers,Electrical & Mechanical Engineering,,,,,,,,,,,,
Electronics Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Elementary School Teachers,Education,General Humanities,Anthropology & History,Applied & General Mathematics,Sociology,Psychology,General Art,Earth Sciences,Language & Literature,,,,
Emergency Management Directors,Management & Information Systems,Sociology,Politics & Public Policy,City Planning & Architecture,Environmental Science & Studies,Law & Criminology,Social Services,,,,,,
Emergency Medicine Physicians,Biology,Medical Sciences,,,,,,,,,,,
Energy Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,City Planning & Architecture,,,,,,,,,,
"Engineering Teachers, Postsecondary",Specializations & Engineering,Electrical & Mechanical Engineering,Computer Science and Engineering,City Planning & Architecture,,,,,,,,,
"English Language & Literature Teachers, Postsecondary",Language & Literature,General Humanities,Cultural & Ethnic Studies,Linguistics,Communication & Journalism,,,,,,,,
Environmental Compliance Inspectors,Environmental Science & Studies,Law & Criminology,Politics & Public Policy,,,,,,,,,,
Environmental Economists,Economics,Applied & General Mathematics,Environmental Science & Studies,Statistics & Data Science,Accounting & Finance,,,,,,,,
Environmental Engineers,Specializations & Engineering,Environmental Science & Studies,,,,,,,,,,,
Environmental Restoration Planners,Earth Sciences,Environmental Science & Studies,City Planning & Architecture,,,,,,,,,,
"Environmental Science Teachers, Postsecondary",Environmental Science & Studies,Earth Sciences,,,,,,,,,,,
"Environmental Scientists & Specialists, Including Health",Medical Sciences,Biology,Environmental Science & Studies,,,,,,,,,,
Epidemiologists,Medical Sciences,Biology,Chemistry,Politics & Public Policy,Sociology,,,,,,,,
